FY,Category,Description,Actuals
2023,Instruction,Salaries of Teachers,5316099.35
2023,Instruction,Other Salaries for Instruction,47239.4
2023,Instruction,Purchased Professional/Technical Services,263177.61
2023,Instruction,Other Purchased Services,57634.82
2023,Instruction,General Supplies,220123.78
2023,Instruction,Textbooks,1082.9
2023,Instruction,Miscellaneous Expense,123000.18
2023,Administrative,Salaries - Administration,2387612.88
2023,Administrative,Salaries of Secretarial/Clerical Assistants,1402556.87
2023,Administrative,Total Benefit Costs,2787480.07
2023,Administrative,Purch. Professional/Tech.Serv.(Consultants),0
2023,Administrative,Legal costs,20167.44
2023,Administrative,Other Purch. Professional/Tech Serv. (Consultants),304705.85
2023,Administrative,Other Purchased Services,38621.5
2023,Administrative,Communications/Telephone,263068.7
2023,Administrative,Supplies and Materials,81061.74
2023,Administrative,Judgments Against Charter Schools,0
2023,Administrative,Interest on Current Loans,0
2023,Administrative,Interest for Lease Purchase Agreements,0
2023,Administrative,Mortgage Payments-Interest,0
2023,Administrative,Miscellaneous Expense,45308.16
2023,Support Services,Salaries,796803.6
2023,Support Services,Purch. Professional/Tech. Serv.(Consultants),113897.62
2023,Support Services,Other Purchased Services,216753.1
2023,Support Services,Rental of Land and Buildings,874665.66
2023,Support Services,"Insurance for property, liability and fidelity",168459.38
2023,Support Services,Supplies and Materials,93823.68
2023,Support Services,Transportation - Other than to/from school,0
2023,Support Services,Reserved for future use,0
2023,Support Services,Energy Costs (Heat and Electricity),293637.23
2023,Support Services,Miscellaneous Expense,495.1
