FY,Category,Description,Actuals
2021,Instruction,Salaries of Teachers,4850291.76
2021,Instruction,Other Salaries for Instruction,33094.92
2021,Instruction,Purchased Professional/Technical Services,250986.73
2021,Instruction,Other Purchased Services,36985.96
2021,Instruction,General Supplies,259716.08
2021,Instruction,Textbooks,0
2021,Instruction,Miscellaneous Expense,84807.38
2021,Administrative,Salaries - Administration,1729119.46
2021,Administrative,Salaries of Secretarial/Clerical Assistants,1330684.81
2021,Administrative,Total Benefit Costs,2364420.01
2021,Administrative,Purch. Professional/Tech.Serv.(Consultants),0
2021,Administrative,Legal costs,20038.26
2021,Administrative,Other Purch. Professional/Tech Serv. (Consultants),77955
2021,Administrative,Other Purchased Services,22392.15
2021,Administrative,Communications/Telephone,166419.7
2021,Administrative,Supplies and Materials,192811.98
2021,Administrative,Judgments Against Charter Schools,0
2021,Administrative,Interest on Current Loans,0
2021,Administrative,Interest for Lease Purchase Agreements,0
2021,Administrative,Mortgage Payments-Interest,0
2021,Administrative,Miscellaneous Expense,32848.91
2021,Support Services,Salaries,608208.34
2021,Support Services,Purch. Professional/Tech. Serv.(Consultants),120084.68
2021,Support Services,Other Purchased Services,247395.08
2021,Support Services,Rental of Land and Buildings,871454.8
2021,Support Services,"Insurance for property, liability and fidelity",144132.2
2021,Support Services,Supplies and Materials,83622.55
2021,Support Services,Transportation - Other than to/from school,0
2021,Support Services,Reserved for future use,0
2021,Support Services,Energy Costs (Heat and Electricity),249094.6
2021,Support Services,Miscellaneous Expense,483
