FY,Category,Expend. Account #,Account Title,Expenditures
2019,Instructional,250-100-100-000-097,IDEA: Salaries,123077.48
2019,Instructional,252-100-100-000-096,IDEA: Salaries Instr.,0
2019,Instructional,231-100-100-000-096,TI: Salaries for Instruction,414255.08
2019,Instructional,232-100-100-000-096,TI: Salaries for Instr.,0
2019,Instructional,270-100-100-000-096,TIIA: Salaries Instr.,53061.32
2019,Instructional,272-100-100-000-096,TIID: Salaries for Instruction,0
2019,Instructional,273-100-100-000-096,TIIA Instr Salaries,0
2019,Instructional,241-100-100-000-096,TIII: Instr Salaries,2699
2019,Support,014-200-100-000-100,PACF: Support Salaries,1500
2019,Support,250-200-100-000-097,IDEA: Non-Instr Salaries,0
2019,Support,252-200-100-000-096,IDEA: Non-Instr Salaries,0
2019,Support,231-200-100-000-096,TI: Support Salaries,0
2019,Support,232-200-100-000-096,TI: Support Salaries,0
2019,Support,270-200-100-000-096,TIIA: Support Salaries,0
2019,Support,272-200-100-000-096,TIID: Support Salaries,0
2019,Support,273-200-100-000-096,TIID: Support Salaries,0
