FY,Category,Expend. Account #,Account Title,Expenditures
2023,Instructional,250-100-100-000-097,IDEA: Salaries,159740.78
2023,Instructional,252-100-100-000-096,IDEA: Salaries Instr.,0
2023,Instructional,231-100-100-000-096,TI: Salaries for Instruction,277929.83
2023,Instructional,232-100-100-000-096,TI: Salaries for Instr.,0
2023,Instructional,270-100-100-000-096,TIIA: Salaries Instr.,0
2023,Instructional,272-100-100-000-096,TIID: Salaries for Instruction,0
2023,Instructional,273-100-100-000-096,TIIA Instr Salaries,0
2023,Instructional,241-100-100-000-096,TIII: Instr Salaries,58225.26
2023,Instructional,242-100-100-000-096,TIII: Instr Salaries,0
2023,Instructional,480-100-100-000-097,ESSER II: Instr Salaries,0
2023,Instructional,481-100-100-000-097,ESSER II L/A: Instr. Salaries,0
2023,Instructional,487-100-100-000-097,ESSER III: Instr Salaries,235208.4
2023,Instructional,489-100-100-000-097,Smr Lrng: Instr. Salaries,0
2023,Support,001-200-100-000-100,Wellness: Salaries,0
2023,Support,250-200-100-000-097,IDEA: Non-Instr Salaries,0
2023,Support,252-200-100-000-096,IDEA: Non-Instr Salaries,0
2023,Support,231-200-100-000-096,TI: Support Salaries,0
2023,Support,232-200-100-000-096,TI: Support Salaries,0
2023,Support,270-200-100-000-096,TIIA: Support Salaries,0
2023,Support,272-200-100-000-096,TIID: Support Salaries,0
2023,Support,273-200-100-000-096,TIID: Support Salaries,0
2023,Support,451-200-100-000-097,CARES Set Aside: Support Salar,0
2023,Support,480-200-100-000-097,ESSER II: Support Salaries,10771.9
2023,Support,482-200-100-000-097,ESSER II MH: Support Salaries,0
2023,Support,487-200-100-000-097,ESSER III: Support Salaries,572923.66
2023,Support,490-200-100-000-097,Beyond SD: Support Salaries,19166.59
2023,Support,491-200-100-000-097,NJTSS MH: Support Salaries,14772.72
