FY,Category,Description,Actuals
2018,Instruction,Salaries of Teachers,5019267.8
2018,Instruction,Other Salaries for Instruction,25278.85
2018,Instruction,Purchased Professional/Technical Services,90122.15
2018,Instruction,Other Purchased Services,63859.74
2018,Instruction,General Supplies,298128.29
2018,Instruction,Textbooks,6255.68
2018,Instruction,Miscellaneous Expense,102688.62
2018,Administrative,Salaries - Administration,1135499.72
2018,Administrative,Salaries of Secretarial/Clerical Assistants,1088688.97
2018,Administrative,Total Benefit Costs,2085704.51
2018,Administrative,Purch. Professional/Tech.Serv.(Consultants),0
2018,Administrative,Legal costs,16654.27
2018,Administrative,Other Purch. Professional/Tech Serv. (Consultants),175992.26
2018,Administrative,Other Purchased Services,38690.59
2018,Administrative,Communications/Telephone,134114.24
2018,Administrative,Supplies and Materials,124156.31
2018,Administrative,Judgments Against Charter Schools,0
2018,Administrative,Interest on Current Loans,157198.23
2018,Administrative,Interest for Lease Purchase Agreements,0
2018,Administrative,Mortgage Payments-Interest,0
2018,Administrative,Miscellaneous Expense,14402.35
2018,Support Services,Salaries,489948.32
2018,Support Services,Purch. Professional/Tech. Serv.(Consultants),107654.87
2018,Support Services,Other Purchased Services,292690.4
2018,Support Services,Rental of Land and Buildings,302000
2018,Support Services,"Insurance for property, liability and fidelity",128166.11
2018,Support Services,Supplies and Materials,196580.17
2018,Support Services,Transportation - Other than to/from school,27840.82
2018,Support Services,Reserved for future use,0
2018,Support Services,Energy Costs (Heat and Electricity),253429.39
2018,Support Services,Miscellaneous Expense,538
